country,indicator_abbr,indicator_name,dimension,group,prevalence,population,who_region,income_group,gender
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Economic status (wealth quintile),Quintile 1 (poorest),23.100000381469727,1470.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Economic status (wealth quintile),Quintile 2,23.399999618530273,1457.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Economic status (wealth quintile),Quintile 3,20.200000762939453,1489.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Economic status (wealth quintile),Quintile 4,15.600000381469727,1466.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Economic status (wealth quintile),Quintile 5 (richest),12.899999618530273,1560.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Education (2 groups),No or primary education,21.600000381469727,3765.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Education (2 groups),Secondary or higher education,16.200000762939453,3677.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Education (4 groups),Higher education,11.199999809265137,996.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Education (4 groups),No education,30.899999618530273,25.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Education (4 groups),Primary education,21.600000381469727,3741.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Education (4 groups),Secondary education,18.0,2681.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Place of residence,Rural,22.5,4095.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Place of residence,Urban,14.600000381469727,3348.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Subnational region,central,21.200000762939453,3379.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Subnational region,coastal,20.200000762939453,2101.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Subnational region,mountain,16.899999618530273,769.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Subnational region,urban tirana,11.899999618530273,1195.0,European,Upper middle income,Female
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Economic status (wealth quintile),Quintile 1 (poorest),22.799999237060547,458.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Economic status (wealth quintile),Quintile 2,24.5,578.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Economic status (wealth quintile),Quintile 3,19.299999237060547,614.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Economic status (wealth quintile),Quintile 4,14.899999618530273,605.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Economic status (wealth quintile),Quintile 5 (richest),9.300000190734863,641.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Education (2 groups),No or primary education,21.600000381469727,1177.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Education (2 groups),Secondary or higher education,15.100000381469727,1720.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Education (4 groups),Higher education,7.800000190734863,356.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Education (4 groups),No education,,,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Education (4 groups),Primary education,21.5,1159.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Education (4 groups),Secondary education,17.0,1364.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Place of residence,Rural,21.899999618530273,1529.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Place of residence,Urban,13.100000381469727,1368.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Subnational region,central,19.5,1357.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Subnational region,coastal,18.399999618530273,784.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Subnational region,mountain,23.899999618530273,270.0,European,Upper middle income,Male
Albania,AN_ANEM_ANY_M,Anaemia prevalence (%) - Male,Subnational region,urban tirana,8.199999809265137,486.0,European,Upper middle income,Male
Burkina Faso,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Economic status (wealth quintile),Quintile 1 (poorest),54.599998474121094,1542.0,African,Low income,Female
Burkina Faso,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Economic status (wealth quintile),Quintile 2,52.70000076293945,1606.0,African,Low income,Female
Burkina Faso,AN_ANEM_ANY_F,Anaemia prevalence (%) - Female,Economic status (wealth quintile),Quintile 3,50.400001525878906,1591.0,African,Low income,Female
